Date,Margin Debt,Free Credit Cash Accounts,Credit Balances In Margin Accounts,,FINRA Debt Balance,FINRA Free Credit Balances in Customers' Cash Accounts,FINRA Free Credit Balances in Customers' Securities Margin Accounts,Stitched Debt Balance,FINRA Free Credit Balances in Customers' Cash Accounts,FINRA Free Credit Balances in Customers' Securities Margin Accounts
10/31/2018,-,-,-,18-Oct,"607,645","148,037","183,432","607,645",,
9/30/2018,-,-,-,18-Sep,"648,126","151,384","188,152","648,126",,
8/31/2018,-,-,-,18-Aug,"652,395","148,873","178,601","652,395",,
7/31/2018,-,-,-,18-Jul,"652,790","148,947","178,299","652,790",,
6/30/2018,-,-,-,18-Jun,"646,931","157,150","179,399","646,931",,
5/31/2018,-,-,-,18-May,"668,940","155,344","181,890","668,940",,
4/30/2018,-,-,-,18-Apr,"652,303","155,989","179,410","652,303",,
3/31/2018,-,-,-,18-Mar,"645,235","166,148","180,751","645,235",,
2/28/2018,-,-,-,18-Feb,"645,064","164,657","183,267","645,064",,
1/31/2018,-,-,-,18-Jan,"665,716","168,450","181,763","665,716",,
12/31/2017,-,-,-,17-Dec,"642,798","172,999","182,773","642,798",,
11/30/2017,580945,140870,153196,17-Nov,"627,422","170,948","185,312","627,422",,
10/31/2017,561444,139978,151729,17-Oct,"607,838","169,368","184,047","607,838",,
9/30/2017,559641,142233,151335,17-Sep,"606,334","172,872","183,599","606,334",,
8/31/2017,550851,140443,151871,17-Aug,"596,567","170,524","183,744","596,567",,
7/31/2017,549860,142344,151605,17-Jul,"594,414","173,195","184,246","594,414",,
6/30/2017,539116,145848,154622,17-Jun,"584,258","176,707","187,500","584,258",,
5/31/2017,539938,146717,152477,17-May,"582,764","176,970","185,463","582,764",,
4/30/2017,549198,150210,150895,17-Apr,"590,797","180,908","184,930","590,797",,
3/31/2017,536926,155347,150318,17-Mar,"577,674","186,892","184,977","577,674",,
2/28/2017,528160,153771,149495,17-Feb,"568,637","185,720","184,598","568,637",,
1/31/2017,513278,154269,150879,17-Jan,"553,557","186,301","186,029","553,557",,
12/31/2016,489523,155543,154786,16-Dec,"529,372","188,062","189,979","529,372",,
11/30/2016,500442,149653,152828,16-Nov,"539,972","179,598","187,085","539,972",,
10/31/2016,483978,152022,149766,16-Oct,"523,760","182,051","182,986","523,760",,
